CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,min_recency,max_recency,cluster
12347,7,224.82,1294.32,615.7142857142857,4310.0,896.7,484.32,1136.8,1273.19,518.99,2,367,5
12348,4,227.44,892.8,449.31,1797.24,0.0,683.24,754.0,0.0,360.0,75,358,5
12349,1,1757.55,1757.55,1757.55,1757.55,215.22000000000003,79.32,465.85999999999996,188.3,808.85,18,18,7
12350,1,334.4,334.4,334.4,334.4,93.30000000000001,39.099999999999994,162.0,0.0,40.0,310,310,3
12352,7,144.35,840.3,340.8157142857143,2385.71,97.13000000000001,31.0,374.67999999999995,348.35,1534.55,36,296,5
12353,1,89.0,89.0,89.0,89.0,17.700000000000003,0.0,11.6,0.0,59.699999999999996,204,204,3
12354,1,1079.4,1079.4,1079.4,1079.4,116.85000000000001,161.38,336.52,212.65,252.0,232,232,7
12355,1,459.4,459.4,459.4,459.4,53.10000000000001,0.0,244.8,116.1,45.4,214,214,3
12356,3,58.349999999999994,2271.62,937.1433333333333,2811.43,353.9,397.75,788.95,204.0,1066.8300000000002,22,325,5
12357,1,6207.67,6207.67,6207.67,6207.67,911.5800000000002,315.96,1146.9,1759.88,2073.35,33,33,6
12358,2,484.86,683.2,584.03,1168.06,17.700000000000003,0.0,74.16,15.0,1061.2,1,150,1
12359,4,547.5,2680.55,1535.12,6140.48,712.08,156.36,651.54,1164.3000000000002,3456.2,57,331,7
12360,3,534.7,1083.58,887.3533333333334,2662.06,691.78,305.56,519.8199999999999,334.55000000000007,810.3499999999999,52,200,7
12361,1,189.9,189.9,189.9,189.9,35.400000000000006,0.0,139.5,0.0,15.0,287,287,3
12362,10,303.76,829.99,515.458,5154.58,1128.24,279.7,1406.9,1141.3400000000001,1198.4,3,295,5
12363,2,252.9,299.1,276.0,552.0,168.6,99.0,207.0,29.700000000000003,47.7,109,242,5
12364,4,79.8,623.92,328.275,1313.1,50.150000000000006,637.42,431.28,34.650000000000006,159.60000000000002,7,112,1
12365,2,320.69,320.69,320.69,641.38,106.20000000000002,5.04,147.2,49.5,333.44,291,291,3
12367,1,168.9,168.9,168.9,168.9,27.0,43.8,70.19999999999999,9.9,18.0,4,4,1
12370,4,277.2,1587.07,885.4849999999999,3541.9399999999996,855.4,513.06,970.63,788.2,414.65,51,360,5
12371,2,360.0,1527.96,943.98,1887.96,513.14,50.519999999999996,255.3,545.85,523.15,44,59,1
12372,3,383.12,515.7,432.68,1298.04,257.1,144.23999999999998,604.5,110.7,181.5,71,296,5
12373,1,364.6,364.6,364.6,364.6,170.10000000000002,51.0,85.8,17.700000000000003,40.0,311,311,3
12374,1,742.9300000000001,742.9300000000001,742.9300000000001,742.9300000000001,164.10000000000002,78.96,187.47,81.4,231.0,25,25,1
12375,2,225.12,230.3,227.71,455.42,268.32,25.5,0.0,49.800000000000004,111.8,10,98,1
12377,2,626.6,1001.52,814.06,1628.12,315.9,199.92,450.29999999999995,473.70000000000005,188.3,315,354,3
12378,1,4008.62,4008.62,4008.62,4008.62,891.1600000000001,604.5,1202.06,629.5500000000001,681.35,129,129,6
12379,2,392.40000000000003,457.89,425.145,850.29,238.94,82.9,276.04999999999995,101.2,151.2,81,170,1
12380,4,446.61,1040.39,680.1400000000001,2720.5600000000004,923.1700000000001,128.32,523.7,500.37000000000006,645.0,21,185,1
12381,5,4.5,1227.3899999999999,360.792,1803.9599999999998,376.99,173.42000000000002,350.29999999999995,248.4,654.85,4,119,1
12383,5,99.45,639.91,367.86199999999997,1839.31,149.10000000000002,474.18,537.0799999999999,211.35000000000002,467.59999999999997,184,352,3
